id,text,sentiment
1,The item broke within a week.,negative
2,Customer support was unhelpful.,negative
3,Very disappointed with the product.,negative
4,Delivery was neither fast nor slow.,neutral
5,Delivery was neither fast nor slow.,neutral
6,The quality is top-notch and worth the price.,positive
7,Delivery was neither fast nor slow.,neutral
8,Customer support was unhelpful.,negative
9,Packaging was standard.,neutral
10,Highly recommend this to everyone.,positive
11,The product exceeded my expectations!,positive
12,The quality is top-notch and worth the price.,positive
13,Excellent customer service and fast delivery.,positive
14,The quality is top-notch and worth the price.,positive
15,It works as expected.,neutral
16,Very disappointed with the product.,negative
17,Very disappointed with the product.,negative
18,The product exceeded my expectations!,positive
19,It works as expected.,neutral
20,Packaging was standard.,neutral
21,The item arrived on time.,neutral
22,Delivery was neither fast nor slow.,neutral
23,Highly recommend this to everyone.,positive
24,Very satisfied with the purchase.,positive
25,It works as expected.,neutral
26,Highly recommend this to everyone.,positive
27,The item arrived on time.,neutral
28,The item arrived on time.,neutral
29,It works as expected.,neutral
30,Very satisfied with the purchase.,positive
31,Very satisfied with the purchase.,positive
32,The item arrived on time.,neutral
33,Very disappointed with the product.,negative
34,Customer support was unhelpful.,negative
35,Would not buy again.,negative
36,"Terrible experience, avoid this seller.",negative
37,It works as expected.,neutral
38,The quality is top-notch and worth the price.,positive
39,Very satisfied with the purchase.,positive
40,Highly recommend this to everyone.,positive
41,Very disappointed with the product.,negative
42,Very satisfied with the purchase.,positive
43,The quality is top-notch and worth the price.,positive
44,"Terrible experience, avoid this seller.",negative
45,Nothing special about the product.,neutral
46,The item arrived on time.,neutral
47,It works as expected.,neutral
48,The item arrived on time.,neutral
49,"Terrible experience, avoid this seller.",negative
50,Very disappointed with the product.,negative
51,Packaging was standard.,neutral
52,Packaging was standard.,neutral
53,Would not buy again.,negative
54,Would not buy again.,negative
55,The item arrived on time.,neutral
56,The quality is top-notch and worth the price.,positive
57,Would not buy again.,negative
58,Nothing special about the product.,neutral
59,The item broke within a week.,negative
60,The item arrived on time.,neutral
61,Customer support was unhelpful.,negative
62,Very satisfied with the purchase.,positive
63,Packaging was standard.,neutral
64,The item broke within a week.,negative
65,Very disappointed with the product.,negative
66,The quality is top-notch and worth the price.,positive
67,Very disappointed with the product.,negative
68,Very satisfied with the purchase.,positive
69,Would not buy again.,negative
70,Delivery was neither fast nor slow.,neutral
71,Very disappointed with the product.,negative
72,Packaging was standard.,neutral
73,Nothing special about the product.,neutral
74,Excellent customer service and fast delivery.,positive
75,Delivery was neither fast nor slow.,neutral
76,Highly recommend this to everyone.,positive
77,The quality is top-notch and worth the price.,positive
78,Customer support was unhelpful.,negative
79,Customer support was unhelpful.,negative
80,The product exceeded my expectations!,positive
81,Would not buy again.,negative
82,Packaging was standard.,neutral
83,The item broke within a week.,negative
84,Would not buy again.,negative
85,The quality is top-notch and worth the price.,positive
86,Very disappointed with the product.,negative
87,Would not buy again.,negative
88,Highly recommend this to everyone.,positive
89,Customer support was unhelpful.,negative
90,The item broke within a week.,negative
91,Packaging was standard.,neutral
92,Delivery was neither fast nor slow.,neutral
93,The item broke within a week.,negative
94,The quality is top-notch and worth the price.,positive
95,Customer support was unhelpful.,negative
96,Packaging was standard.,neutral
97,Customer support was unhelpful.,negative
98,It works as expected.,neutral
99,The quality is top-notch and worth the price.,positive
100,The quality is top-notch and worth the price.,positive
